text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_3_4,Adv,142.38877580692062,0.0,393.946098149638,58,3439
1_3_4,Ele,126.58828596037898,0.0,381.24254215304796,59,2322
1_3_5,Adv,171.0850471293916,0.0,412.2999483737739,58,4668
1_3_5,Ele,117.49877511024008,0.0,374.7109375,59,2041
1_4_1,Adv,167.2833510074231,0.0,400.3761421319797,58,4715
1_4_1,Ele,152.93566958698372,0.0,406.23537234042556,59,3995
1_4_2,Adv,154.08929715872677,0.0,421.80818713450293,58,4681
1_4_2,Ele,103.23991141732283,0.0,356.7746598639456,59,4064
1_4_3,Adv,222.2632986627043,0.0,467.739837398374,59,3365
1_4_3,Ele,157.1582329317269,0.0,373.75740210124167,58,2490
1_4_4,Adv,173.80925726587728,0.0,420.4916666666667,59,4645
1_4_4,Ele,180.00701344243132,0.0,404.18897637795277,58,3422
1_4_5,Adv,169.7681647940075,0.0,411.69936421435057,58,2670
1_4_5,Ele,181.21476510067114,0.0,431.40695488721803,59,2533
1_5_1,Adv,118.49817850637523,0.0,386.0860534124629,59,2196
1_5_1,Ele,99.0884705882353,0.0,344.0571895424837,58,2125
1_5_2,Adv,123.89850357839948,0.0,424.7553903345725,59,4611
1_5_2,Ele,117.3539408866995,0.0,365.38113496932516,58,4060
1_5_3,Adv,190.88140759213078,0.0,418.2701882210079,58,3609
1_5_3,Ele,175.6370106761566,0.0,411.28333333333336,59,2810
1_5_4,Adv,161.38527878058565,0.0,419.5344108446298,59,4986
1_5_4,Ele,157.16867088607594,0.0,382.62942989214173,58,3160
1_5_5,Adv,234.96694214876032,98.5,450.57052297939777,58,2420
1_5_5,Ele,178.27210300429184,0.0,415.374,59,2330
1_6_1,Adv,189.06022408963585,0.0,451.46822742474916,59,2856
1_6_1,Ele,134.79941291585126,0.0,395.8764367816092,58,2044
1_6_2,Adv,203.06931554524363,0.0,432.21172839506175,58,3448
1_6_2,Ele,185.71650124069478,0.0,448.83808095952025,59,3224
1_6_3,Adv,189.05122024706236,0.0,426.2642663043478,59,3319
1_6_3,Ele,183.2250827510114,0.0,398.5512,58,2719
1_6_4,Adv,156.91226974711208,0.0,421.28248113998325,58,3203
1_6_4,Ele,127.55525280048441,0.0,388.3087557603687,59,3303
1_7_1,Adv,85.05560640732266,0.0,329.8074534161491,58,4370
1_7_1,Ele,87.40991325898389,0.0,351.2938247011952,59,4035
1_7_2,Adv,117.55068870523417,0.0,350.62366474938375,58,3630
1_7_2,Ele,113.90805840995132,0.0,358.8006814310051,58,3698
1_7_3,Adv,142.9163052905464,0.0,411.95625,59,4612
1_7_3,Ele,119.70070323488045,0.0,345.12246553122463,58,3555
1_7_4,Adv,127.48585431053687,0.0,398.804181184669,59,4489
1_7_4,Ele,103.85676878764075,0.0,347.9201754385965,58,3819
1_8_1,Adv,104.6376,0.0,391.2173479561316,58,3750
1_8_1,Ele,78.18576965669989,0.0,322.7508571428571,59,3612
1_8_2,Adv,194.6546427740284,0.0,453.10455037919826,59,4297
