text_id,align_idx,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_1_1,30,Ele,1.3941798941798942,1.0,1.837837837837838,54,1512
1_1_1,31,Adv,1.6443355119825709,1.0,2.1703810208483105,54,1836
1_1_1,31,Ele,1.3500597371565113,1.0,1.8152610441767068,54,1674
1_1_2,32,Adv,1.6185185185185185,1.0,1.9538002980625933,54,810
1_1_2,33,Adv,1.6818181818181819,1.0,2.3125,54,594
1_1_2,33,Ele,1.7222222222222223,1.0,2.2142857142857144,54,594
1_1_2,34,Adv,1.5545808966861598,1.0,2.010081915563957,54,2052
1_1_2,34,Ele,1.4492063492063492,1.0,1.9127094972067038,54,1890
1_1_2,35,Adv,1.4828042328042328,1.0,1.9327586206896552,54,756
1_1_2,35,Ele,1.2876543209876543,1.0,1.6477093206951028,54,810
1_1_2,36,Adv,1.2309368191721133,1.0,1.6496350364963503,54,918
1_1_2,36,Ele,1.023391812865497,1.0,1.5217391304347827,54,1026
1_1_2,37,Adv,1.5236625514403292,1.0,2.3433544303797467,54,972
1_1_2,37,Ele,0.9259259259259259,1.0,1.4970059880239521,54,270
1_1_3,38,Adv,1.7646793134598013,1.0,2.331145584725537,54,2214
1_1_3,38,Ele,1.5824074074074075,1.0,2.0740291262135924,54,2160
1_1_3,39,Adv,1.7275132275132274,1.0,2.1968040370058874,54,1512
1_1_3,39,Ele,1.5774410774410774,1.0,2.0413943355119826,54,594
1_1_3,40,Adv,1.0620915032679739,1.0,1.5210608424336973,54,918
1_1_3,40,Ele,1.1589506172839505,1.0,1.5202429149797572,54,648
1_1_4,41,Adv,1.962962962962963,2.0,2.41287284144427,54,1566
1_1_4,41,Ele,1.823045267489712,1.0,2.1948802642444263,54,1458
1_1_4,42,Adv,1.746141975308642,1.0,2.2142857142857144,54,1296
1_1_4,42,Ele,1.5513468013468013,1.0,2.018619934282585,54,1188
1_1_4,43,Adv,1.9600389863547758,1.0,2.4857849196538937,54,1026
1_1_4,43,Ele,1.8431372549019607,1.0,2.4310344827586206,54,918
1_1_4,44,Adv,1.2085769980506822,1.0,1.6870748299319729,54,1026
1_1_5,45,Adv,1.5752314814814814,1.0,2.0162962962962965,54,864
1_1_5,45,Ele,1.712962962962963,1.0,2.099290780141844,54,864
1_1_5,46,Adv,1.3035426731078905,1.0,1.867358708189158,54,1242
1_1_5,46,Ele,1.3703703703703705,1.0,1.834710743801653,54,810
1_1_5,47,Adv,1.0518518518518518,1.0,1.5434782608695652,54,540
1_1_5,48,Adv,1.556980056980057,1.0,2.0681173131504256,54,1404
1_1_5,48,Ele,1.646537842190016,1.0,2.1526315789473682,54,1242
1_1_6,49,Adv,1.9074074074074074,1.0,2.378330373001776,54,1404
1_1_6,50,Adv,1.9609053497942386,1.0,2.589673913043478,54,972
1_1_6,51,Adv,2.002314814814815,2.0,2.425233644859813,54,1296
1_1_6,51,Ele,1.707977207977208,1.0,2.070811744386874,54,1404
1_1_6,52,Adv,1.6754018169112508,1.0,2.1589374155785683,54,2862
1_1_6,52,Ele,1.4281045751633987,1.0,1.9213483146067416,54,2754
1_1_7,53,Adv,1.9675925925925926,2.0,2.316076294277929,54,432
1_1_7,53,Ele,1.8842592592592593,1.0,2.23013698630137,54,432
1_1_7,54,Adv,1.51994301994302,1.0,2.032380952380952,54,702
1_1_7,55,Adv,1.5960648148148149,1.0,2.06437125748503,54,864
1_1_7,55,Ele,1.3680555555555556,1.0,1.8018292682926829,54,864
1_1_7,56,Adv,1.818287037037037,2.0,2.2867540029112083,54,864
1_1_7,56,Ele,1.7808641975308641,1.0,2.129151291512915,54,972
1_1_7,57,Adv,1.6861111111111111,1.0,2.175627240143369,54,1080
1_1_7,57,Ele,1.5527777777777778,1.0,2.003584229390681,54,1080
1_1_7,58,Adv,1.4415954415954415,1.0,1.9442843419788665,54,1404
1_1_7,58,Ele,1.1103395061728396,1.0,1.6333711691259931,54,1296
1_1_7,59,Adv,1.8969907407407407,1.0,2.328125,54,864
